timestep,frequency,period,aIndex,aName,x,y,z,scalar,i,j,k,dXB,dYB,dZB,dRoll,dPitch,dYaw
34,19.626514931728636,1.0,9,move_right,0.111630290747,-0.193349018693,-7.9574007988,0.257159858942,0.029254052788,-0.109177820385,-0.959736049175,0.348711103201,-0.603984832764,-3.36830687523,-0.206361949444,-1.27592784338e-06,2.45029951884e-09
35,19.657237125770955,1.0,9,move_right,0.130019187927,-0.225199520588,-8.12174892426,0.257309257984,0.0279078576714,-0.104153856635,-0.960294306278,0.372667551041,-0.645478785038,-3.08071732521,-0.191964939237,-1.85693022559e-06,2.0530321887e-09
36,19.724720422117926,1.0,9,move_right,0.149664744735,-0.25922665,-8.27201938629,0.257442116737,0.0266530960798,-0.0994711592793,-0.960790634155,0.397939950228,-0.689251959324,-2.81590747833,-0.179124325514,-2.17384422285e-06,2.15935558323e-09
37,19.711742534612892,1.0,9,move_right,0.170626521111,-0.295533448458,-8.40933513641,0.257560759783,0.0254792068154,-0.0950902402401,-0.961234152317,0.424236893654,-0.734799742699,-2.57251167297,-0.167878136039,-1.2342759419e-06,-1.2885766898e-09
38,19.70035461825697,1.0,9,move_right,0.192949980497,-0.33419880271,-8.53475284576,0.257666945457,0.0243805963546,-0.0909903049469,-0.961630940437,0.451301455498,-0.781677126884,-2.34914207458,-0.160364180803,-1.8402644173e-06,-4.36142899574e-09
39,19.648857178995893,1.0,9,move_right,0.216668382287,-0.375280290842,-8.64926242828,0.257762789726,0.0233458597213,-0.0871286615729,-0.961988568306,0.478903889656,-0.829486250877,-2.14445376396,-0.15133407712,-1.1341520576e-06,-2.85698353863e-09
40,19.647844702399354,2.0,9,move_right,0.241803899407,-0.418816298246,-8.75378036499,0.257849514484,0.0223681759089,-0.0834798887372,-0.962312042713,0.506843686104,-0.877879738808,-1.95712590218,-0.142319470644,-4.28061639468e-07,-2.02834882224e-09
41,19.45292723537078,2.0,9,move_right,0.268369197845,-0.464828819036,-8.84916114807,0.257928162813,0.0214433036745,-0.0800282210112,-0.962605237961,0.53494733572,-0.926556825638,-1.78588759899,-0.134394735098,-1.05587787402e-07,-1.17156051527e-09
42,19.68362069774645,2.0,9,move_right,0.29636874795,-0.513325452805,-8.93619346619,0.257999569178,0.0205676108599,-0.0767600312829,-0.962871313095,0.563064455986,-0.975257217884,-1.62952339649,-0.127505272627,8.67358039613e-07,1.21094623218e-09
43,19.619721208719245,2.0,9,move_right,0.325799882412,-0.564301609993,-9.01560401917,0.258064299822,0.0197372436523,-0.0736609771848,-0.963113367558,0.591065824032,-1.02375745773,-1.48688232899,-0.121217168868,1.49559627971e-06,-4.75964934132e-10
